address,lat,long
"72 Clochog, Oranmore",,
"8  Cois na Ce, Cappa Road, Kilrush",,
"82 the garden, ballymacool wood, letterkenny",,
"85 Wingfield, Enniskerry Road, Stepaside",,
"89 Glendara, Kill, County Kildare",,
"9 Allendale Lawn, Clonsilla, Dublin 15",53.392663399999996,-6.4266882
"Apartment 19  Grahams, Court  Marlton Road, Wicklow",,
"Ash Cottage, Listraghee  Ballinalee",53.765910700000006,-7.625591900000001
"Aught, Glackmore, Muff",,
"Clashaniska Upper, Clonmel",52.3813989,-7.719169507381741
"Creamery Road, Derra, Brosna",,
"Derreen, Athea, Limerick",,
"Archerstown, Delvin",53.6549493,-7.1039018
"Ballynultagh, shilleagh",,
"Bogmount, Abbeyfeale",,
"Bough Mills, Saint Mullins",,
"Caherguillamore, Bruff",,
"Corbally North, Cummer, Tuam",,
"Coum Gath, Dingle",,
"EASTER COTTAGE, CHAPLE ROAD. THE VILLAGE, BLACKWATER",,
"GAINSTOWN, NAVAN",53.621804700000006,-6.712032499999999
"Kilmoney South, Rathangan",,
"Lissilaun, Blackabbey Road, Adare",,
"Murrisk, Westport",,
"no 8 emmet place, nenagh",52.8638936,-8.199902999999999
"No. 7 Rosmeen Court, Lower Salthill",,
"NUMBER 2, RATHCARN, MONEYGALL",,
"Rahans, Magheracloone, Carrickmacross",,
"Sarney, Dunboyne",53.42526305,-6.512011498807619
"The Bower, Fancourt, Balbriggan",,
"1 Ennel Park, Artane",,
"10 Brookwood Lawn, Artane, Dublin 5",,
"10 Coach House Square, Ballintyre Hall, BAllintyre Avenue",,
"109 Grianan Fidh, Aiken Village, Sandyford",,
"12  Greenwood Walk, Greenwood, Ayrfield",,
"12 Clareville Road, Harolds Cross, Dublin 6W",,
"14 the place, dunboyne castle, dunboyne",,
"15 Lanesborough Mews, St. Margarets  Finglas, Dublin 11",,
"16 Golden Ridge Avenue, Skerries Road, Rush",,
"16 Larkfield Park, Harolds Cross, Dublin 6W",,
"17  Marylands, Shankill, County Dublin",,
"18 Rowlagh Green, Clondalkin, Dublin 22",53.34512415,-6.397255682585599
"18 Wolseley Court, Tullow",52.79527545,-6.7287990182423
"19  Richview, Castlecomer Road, Kilkenny",,
"2 kilmurray cottages, kilmacanogue",,
"2 Mount Anville Wood, Stillorgan, Dublin 14",53.29028149999999,-6.21896331637636
"2 Richmond Cottages, Nenagh",,
"21 Esker Woods Drive, Lucan, Co Dublin",,
"22 THORNLEIGH PLACE, APPLEWOOD VILLAGE, SWORDS",,
"23 SLEMISH ROAD, NAVAN ROAD, DUBLIN 7",,
"24 Bruach na hAbhann, Killeen, Maganey",,
"24 Park Court, Grange Rath, Dublin Road  Drogheda",,
"25 Heatherfield Court, Dublin Road, Carlow",52.84502415,-6.91868530479605
"26 Churchlands, Slane",53.710530500000004,-6.54480112041103
"272  Clontarf Road, Clontarf, Dublin 3",53.3596637,-6.199414599999999
"3 Admiral Park, Baldoyle, Dublin 13",53.3980548,-6.133211
"334 Clontarf Road, Clontarf",53.3596637,-6.199414599999999
"336 nutgrove avenue, churchtown",53.294985499999996,-6.2572093
"35 Oulton Road, Clontarf",53.3619287,-6.2025875
"39 Meadowhill, Letterkenny",,
"39 Merrion Strand, Strand Road, Dublin",,
"4  Fairfields View, Adamstown",52.3936615,-6.71499126076894
"4 Sandyford Hall Close, Sandyford, Dublin",53.26103755,-6.2126270418192195
"44 Dodsboro Cottages, Lucan",53.3485745,-6.46966867272079
"4a, braade, kincasslagh",,
"5  Walkinstown Crescent, Walkinstown, Dublin 12",53.32161329999999,-6.330117700000001
"5 Evora Park, Howth",53.3874785,-6.0710998
"7 Mel Street, Kilminchy, Portlaoise",53.0464094,-7.2625785
"83 TURVEY WALK, DONABATE",,
"87 troytown heights, navan",53.664778000000005,-6.6822677
"9 valley park drive, finglas, dublin 11",,
"90 Maudlin Court, Thomastown",,
"94  Lee Drive, Ballinorig, Tralee",,
"96 Hennessys Road, Waterford",52.2541602,-7.1190432
"97 Great William O'Brien Street, Blackpool, Cork",51.9100997,-8.4746817
"Apt 111  Vantage Central, Central Park, Leopardstown  Dublin 18",,
"Barrack Lane, Athboy",,
"Broughillstown, Rathvilly",52.89800770000001,-6.70097726771838
"Coin Na Curra, Lisgoold, Midleton",,
"Greaghdrummit, Carrickmacross",,
"Killinordan Beg, Scramogue",,
"Killult, Falcarragh, Letterkenny",,
"Killyverry, Newtowncunningham",,
"Ladies Beach, Doon West, Ballybunnion",,
"Mountblakeney, Kilmallock",52.38502715,-8.64057207861439
"No 11 Shrewsbury Square, Sandymount Avenue, Sandymount",,
