"Statistic","Day","Sex","UNIT","VALUE"
"RIP.ie death notices","2020 October 12","Both sexes","Number","81"
"RIP.ie death notices","2020 October 13","Both sexes","Number","75"
"RIP.ie death notices","2020 October 14","Both sexes","Number","80"
"RIP.ie death notices","2020 October 15","Both sexes","Number","90"
"RIP.ie death notices","2020 October 16","Both sexes","Number","94"
"RIP.ie death notices","2020 October 17","Both sexes","Number","75"
"RIP.ie death notices","2020 October 18","Both sexes","Number","100"
"RIP.ie death notices","2020 October 19","Both sexes","Number","88"
"RIP.ie death notices","2020 October 20","Both sexes","Number","101"
"RIP.ie death notices","2020 October 21","Both sexes","Number","79"
"RIP.ie death notices","2020 October 22","Both sexes","Number","83"
"RIP.ie death notices","2020 October 23","Both sexes","Number","99"
"RIP.ie death notices","2020 October 24","Both sexes","Number","92"
"RIP.ie death notices","2020 October 25","Both sexes","Number","81"
"RIP.ie death notices","2020 October 26","Both sexes","Number","91"
"RIP.ie death notices","2020 October 27","Both sexes","Number","102"
"RIP.ie death notices","2020 October 28","Both sexes","Number","77"
"RIP.ie death notices","2020 October 29","Both sexes","Number","83"
"RIP.ie death notices","2020 October 30","Both sexes","Number","102"
"RIP.ie death notices","2020 October 31","Both sexes","Number","110"
"RIP.ie death notices","2020 November 01","Both sexes","Number","79"
"RIP.ie death notices","2020 November 02","Both sexes","Number","79"
"RIP.ie death notices","2020 November 03","Both sexes","Number","69"
"RIP.ie death notices","2020 November 04","Both sexes","Number","77"
"RIP.ie death notices","2020 November 05","Both sexes","Number","96"
"RIP.ie death notices","2020 November 06","Both sexes","Number","87"
"RIP.ie death notices","2020 November 07","Both sexes","Number","88"
"RIP.ie death notices","2020 November 08","Both sexes","Number","85"
"RIP.ie death notices","2020 November 09","Both sexes","Number","81"
"RIP.ie death notices","2020 November 10","Both sexes","Number","105"
"RIP.ie death notices","2020 November 11","Both sexes","Number","82"
"RIP.ie death notices","2020 November 12","Both sexes","Number","83"
"RIP.ie death notices","2020 November 13","Both sexes","Number","82"
"RIP.ie death notices","2020 November 14","Both sexes","Number","93"
"RIP.ie death notices","2020 November 15","Both sexes","Number","95"
"RIP.ie death notices","2020 November 16","Both sexes","Number","89"
"RIP.ie death notices","2020 November 17","Both sexes","Number","88"
"RIP.ie death notices","2020 November 18","Both sexes","Number","82"
"RIP.ie death notices","2020 November 19","Both sexes","Number","83"
"RIP.ie death notices","2020 November 20","Both sexes","Number","79"
"RIP.ie death notices","2020 November 21","Both sexes","Number","82"
"RIP.ie death notices","2020 November 22","Both sexes","Number","80"
"RIP.ie death notices","2020 November 23","Both sexes","Number","81"
"RIP.ie death notices","2020 November 24","Both sexes","Number","85"
"RIP.ie death notices","2020 November 25","Both sexes","Number","96"
"RIP.ie death notices","2020 November 26","Both sexes","Number","73"
"RIP.ie death notices","2020 November 27","Both sexes","Number","99"
"RIP.ie death notices","2020 November 28","Both sexes","Number","74"
"RIP.ie death notices","2020 November 29","Both sexes","Number","76"
"RIP.ie death notices","2020 November 30","Both sexes","Number","76"
"RIP.ie death notices","2020 December 01","Both sexes","Number","79"
"RIP.ie death notices","2020 December 02","Both sexes","Number","76"
"RIP.ie death notices","2020 December 03","Both sexes","Number","92"
"RIP.ie death notices","2020 December 04","Both sexes","Number","87"
"RIP.ie death notices","2020 December 05","Both sexes","Number","108"
"RIP.ie death notices","2020 December 06","Both sexes","Number","90"
"RIP.ie death notices","2020 December 07","Both sexes","Number","81"
"RIP.ie death notices","2020 December 08","Both sexes","Number","88"
"RIP.ie death notices","2020 December 09","Both sexes","Number","95"
"RIP.ie death notices","2020 December 10","Both sexes","Number","88"
"RIP.ie death notices","2020 December 11","Both sexes","Number","81"
"RIP.ie death notices","2020 December 12","Both sexes","Number","83"
"RIP.ie death notices","2020 December 13","Both sexes","Number","83"
"RIP.ie death notices","2020 December 14","Both sexes","Number","83"
"RIP.ie death notices","2020 December 15","Both sexes","Number","86"
"RIP.ie death notices","2020 December 16","Both sexes","Number","86"
"RIP.ie death notices","2020 December 17","Both sexes","Number","88"
