date,sex,year,deaths
2016-01-14,F,2016,52
2016-01-14,M,2016,51
2016-01-15,F,2016,51
2016-01-15,M,2016,51
2016-01-16,F,2016,50
2016-01-16,M,2016,41
2016-01-17,F,2016,47
2016-01-17,M,2016,54
2016-01-18,F,2016,50
2016-01-18,M,2016,45
2016-01-19,F,2016,39
2016-01-19,M,2016,48
2016-01-20,F,2016,38
2016-01-20,M,2016,57
2016-01-21,F,2016,58
2016-01-21,M,2016,48
2016-01-22,F,2016,49
2016-01-22,M,2016,57
2016-01-23,F,2016,52
2016-01-23,M,2016,45
2016-01-24,F,2016,42
2016-01-24,M,2016,49
2016-01-25,F,2016,40
2016-01-25,M,2016,50
2016-01-26,F,2016,50
2016-01-26,M,2016,59
2016-01-27,F,2016,49
2016-01-27,M,2016,55
2016-01-28,F,2016,31
2016-01-28,M,2016,50
2016-01-29,F,2016,48
2016-01-29,M,2016,52
2016-01-30,F,2016,47
2016-01-30,M,2016,53
2016-01-31,F,2016,64
2016-01-31,M,2016,51
2016-02-01,F,2016,33
2016-02-01,M,2016,45
2016-02-02,F,2016,35
2016-02-02,M,2016,36
2016-02-03,F,2016,29
2016-02-03,M,2016,47
2016-02-04,F,2016,65
2016-02-04,M,2016,51
2016-02-05,F,2016,47
2016-02-05,M,2016,47
2016-02-06,F,2016,54
2016-02-06,M,2016,43
2016-02-07,F,2016,41
2016-02-07,M,2016,38
2016-02-08,F,2016,44
2016-02-08,M,2016,61
2016-02-09,F,2016,46
2016-02-09,M,2016,51
2016-02-10,F,2016,48
2016-02-10,M,2016,44
2016-02-11,F,2016,51
2016-02-11,M,2016,46
2016-02-12,F,2016,45
2016-02-12,M,2016,51
2016-02-13,F,2016,44
2016-02-13,M,2016,45
2016-02-14,F,2016,44
2016-02-14,M,2016,43
2016-02-15,F,2016,49
2016-02-15,M,2016,50
2016-02-16,F,2016,49
2016-02-16,M,2016,52
2016-02-17,F,2016,56
2016-02-17,M,2016,43
2016-02-18,F,2016,40
2016-02-18,M,2016,47
2016-02-19,F,2016,35
2016-02-19,M,2016,48
2016-02-20,F,2016,36
2016-02-20,M,2016,45
2016-02-21,F,2016,44
2016-02-21,M,2016,42
2016-02-22,F,2016,51
2016-02-22,M,2016,55
2016-02-23,F,2016,36
2016-02-23,M,2016,44
2016-02-24,F,2016,41
2016-02-24,M,2016,36
2016-02-25,F,2016,44
2016-02-25,M,2016,47
2016-02-26,F,2016,44
2016-02-26,M,2016,36
2016-02-27,F,2016,42
2016-02-27,M,2016,41
2016-02-28,F,2016,50
2016-02-28,M,2016,40
2016-02-29,F,2016,45
2016-02-29,M,2016,44
2016-03-01,F,2016,35
2016-03-01,M,2016,42
2016-03-02,F,2016,53
