Name,Rank,Number of Births,year
Goretti,417,4,1971
Hiliary,417,4,1971
Maresa,417,4,1971
Nodlaig,417,4,1971
Rosanne,417,4,1971
Lauren,466,3,1971
Mia,466,3,1971
Isabelle,466,3,1971
Amelia,466,3,1971
Sadhbh,466,3,1971
Aoibheann,466,3,1971
Laoise,466,3,1971
Lena,466,3,1971
Caragh,466,3,1971
Juliette,466,3,1971
Kara,466,3,1971
Kyra,466,3,1971
Aislinn,466,3,1971
Orlagh,466,3,1971
Nancy,466,3,1971
Seana,466,3,1971
Tamara,466,3,1971
Gloria,466,3,1971
Klara,466,3,1971
Susannah,466,3,1971
Tammy,466,3,1971
Cait,466,3,1971
Dora,466,3,1971
Harriet,466,3,1971
Isolde,466,3,1971
Penelope,466,3,1971
May,466,3,1971
Annmarie,466,3,1971
Eunice,466,3,1971
Felicity,466,3,1971
Ide,466,3,1971
Ina,466,3,1971
Aiveen,466,3,1971
Alyson,466,3,1971
Bairbre,466,3,1971
Bridgid,466,3,1971
Cathryn,466,3,1971
Criona,466,3,1971
Dionne,466,3,1971
Edna,466,3,1971
Ena,466,3,1971
Fionnula,466,3,1971
Gayle,466,3,1971
Gretta,466,3,1971
Gwyneth,466,3,1971
Helga,466,3,1971
Honora,466,3,1971
Inez,466,3,1971
Jo,466,3,1971
Karan,466,3,1971
Karena,466,3,1971
Katharine,466,3,1971
Kathrina,466,3,1971
Katriona,466,3,1971
Laurie,466,3,1971
Lucille,466,3,1971
Marcia,466,3,1971
Miranda,466,3,1971
Phillipa,466,3,1971
Shiela,466,3,1971
Siobain,466,3,1971
Thomasina,466,3,1971
Trudi,466,3,1971
Blanche,466,3,1971
Breege,466,3,1971
Bridgette,466,3,1971
Corinna,466,3,1971
Daragh,466,3,1971
Dervila,466,3,1971
Emir,466,3,1971
Fionula,466,3,1971
Gilda,466,3,1971
Gilian,466,3,1971
Glynis,466,3,1971
Gobnait,466,3,1971
Gwendolen,466,3,1971
Janis,466,3,1971
Jannet,466,3,1971
Jannette,466,3,1971
Joann,466,3,1971
Katherina,466,3,1971
Lavina,466,3,1971
Leonara,466,3,1971
Lucilla,466,3,1971
Lyn,466,3,1971
Marita,466,3,1971
Michell,466,3,1971
Nano,466,3,1971
Perpetua,466,3,1971
Richelle,466,3,1971
Roslin,466,3,1971
Shinead,466,3,1971
Tonya,466,3,1971
Mary,1,1581,1972
Catherine,2,853,1972
Margaret,3,766,1972
Fiona,4,657,1972
Sinead,5,606,1972
Elizabeth,6,544,1972
Ann,7,533,1972
Sharon,8,525,1972
Deirdre,9,516,1972
Anne,10,510,1972
Caroline,11,488,1972
Michelle,12,444,1972
Patricia,13,398,1972
Karen,14,394,1972
Linda,15,379,1972
Elaine,16,365,1972
Martina,17,356,1972
Sandra,18,355,1972
Jennifer,19,330,1972
Lorraine,19,330,1972
Susan,21,320,1972
Siobhan,22,319,1972
Bridget,23,313,1972
Helen,24,301,1972
Lisa,25,290,1972
Yvonne,26,284,1972
Maria,27,281,1972
Niamh,28,278,1972
Marie,29,271,1972
Geraldine,29,271,1972
Sarah,31,258,1972
Orla,32,256,1972
Louise,33,250,1972
Gillian,34,239,1972
Kathleen,35,237,1972
Bernadette,36,228,1972
Denise,37,226,1972
Eileen,38,220,1972
Jacqueline,38,220,1972
Paula,40,215,1972
Carol,41,204,1972
Suzanne,42,201,1972
Rachel,43,200,1972
Deborah,44,198,1972
Teresa,45,185,1972
